=== COLD CERT START 20260211T203909Z ===
pwd: /Users/dcharb/Documents/Kimi_Agent_UFRF, Fel Polynomials, Moonshine
✔ [257/708] Built Aesop.Script.CtorNames (2.2s)
✔ [258/708] Built Batteries.Data.Fin.Fold (1.0s)
✔ [259/708] Built Batteries.Data.Fin.Lemmas (2.0s)
✔ [260/708] Built Aesop.Forward.Substitution (2.8s)
✔ [261/708] Built Aesop.Tracing (2.5s)
✔ [262/708] Built Batteries.Data.List.Lemmas (3.8s)
✔ [263/708] Built Batteries.Classes.Order (1.2s)
✔ [264/708] Built Batteries.Data.BitVec (1.3s)
✔ [265/709] Built Batteries.Data.Fin (1.3s)
✔ [266/709] Built Mathlib.Tactic.TacticAnalysis.Declarations (2.6s)
✔ [267/709] Built Batteries.Data.Nat.Bisect (2.2s)
✔ [268/709] Built Aesop.Script.Util (2.1s)
✔ [269/709] Built Batteries.Data.List.Perm (1.3s)
✔ [270/709] Built Aesop.RuleTac.Forward.Basic (2.2s)
✔ [271/709] Built Aesop.RulePattern.Cache (1.7s)
✔ [272/714] Built Batteries.Data.Array.Lemmas (1.0s)
✔ [273/714] Built Aesop.Util.Tactic.Ext (2.1s)
✔ [274/714] Built Aesop.Stats.Basic (2.3s)
✔ [275/714] Built Batteries.Data.UInt (1.1s)
✔ [276/716] Built Batteries.Classes.Deprecated (1.4s)
✔ [277/716] Built Batteries.Data.Nat (1.2s)
✔ [278/716] Built Batteries.Data.List (1.1s)
✔ [279/716] Built Batteries.Data.Char.Basic (1.6s)
✔ [280/716] Built Batteries.Data.PairingHeap (1.8s)
✔ [281/716] Built Mathlib.Init (1.6s)
✔ [282/716] Built Batteries.Data.Array (1.2s)
✔ [283/716] Built Batteries.Data.Char.AsciiCasing (1.3s)
✔ [284/716] Built Batteries.Data.RBMap.Basic (3.4s)
✔ [285/716] Built Mathlib.Logic.OpClass (1.2s)
✔ [286/716] Built Aesop.Script.Step (2.9s)
✔ [287/716] Built Batteries.CodeAction.Match (1.8s)
✔ [288/716] Built Aesop.Stats.Extension (1.9s)
✔ [289/716] Built Batteries.Data.String.Lemmas (4.1s)
✔ [290/716] Built Aesop.BaseM (1.9s)
✔ [291/716] Built Mathlib.Data.Nat.BinaryRec (1.3s)
✔ [292/716] Built Mathlib.Tactic.StacksAttribute (1.4s)
✔ [293/716] Built Mathlib.Lean.GoalsLocation (1.1s)
✔ [294/716] Built Mathlib.Util.TransImports (1.2s)
✔ [295/716] Built Mathlib.Tactic.Widget.SelectInsertParamsClass (1.1s)
✔ [296/716] Built Mathlib.Lean.Meta.KAbstractPositions (1.2s)
✔ [297/716] Built Mathlib.Util.AtomM (2.2s)
✔ [298/716] Built Mathlib.Util.CountHeartbeats (1.9s)
✔ [299/716] Built Mathlib.Tactic.FastInstance (2.3s)
✔ [300/716] Built Mathlib.Tactic.TypeCheck (1.2s)
✔ [301/716] Built Mathlib.Tactic.UnsetOption (1.3s)
✔ [302/716] Built Mathlib.Tactic.Trace (1.3s)
✔ [303/716] Built Mathlib.Tactic.SudoSetOption (1.4s)
✔ [304/716] Built Mathlib.Tactic.SuccessIfFailWithMsg (1.5s)
✔ [305/716] Built Mathlib.Tactic.Variable (2.4s)
✔ [306/716] Built Mathlib.Tactic.Relation.Rfl (1.4s)
✔ [307/716] Built Mathlib.Tactic.Rename (1.4s)
✔ [308/716] Built Mathlib.Tactic.SimpIntro (1.7s)
✔ [309/716] Built Batteries.Data.BinomialHeap.Basic (6.8s)
✔ [310/716] Built Mathlib.Tactic.Linter.UpstreamableDecl (1.3s)
✔ [311/716] Built Mathlib.Tactic.Recover (1.3s)
✔ [312/716] Built Mathlib.Tactic.NthRewrite (1.1s)
✔ [313/716] Built Mathlib.Tactic.Observe (1.3s)
✔ [314/716] Built Mathlib.Tactic.Linter.PPRoundtrip (1.3s)
✔ [315/716] Built Mathlib.Tactic.Linter.HaveLetLinter (1.3s)
✔ [316/716] Built Mathlib.Tactic.InferParam (1.1s)
✔ [317/716] Built Mathlib.Tactic.GuardHypNums (1.1s)
✔ [318/716] Built Mathlib.Tactic.GuardGoalNums (1.1s)
✔ [319/716] Built Mathlib.Lean.Elab.InfoTree (1.1s)
✔ [320/716] Built Mathlib.Tactic.Linter.DeprecatedModule (1.6s)
✔ [321/716] Built Mathlib.Tactic.FunProp.Mor (1.3s)
✔ [322/716] Built Mathlib.Tactic.FunProp.ToBatteries (1.5s)
✔ [323/716] Built Mathlib.Tactic.ExistsI (1.1s)
✔ [324/716] Built Mathlib.Tactic.FailIfNoProgress (1.3s)
✔ [325/716] Built Mathlib.Tactic.Find (1.5s)
✔ [326/716] Built Mathlib.Tactic.FunProp.Decl (1.7s)
✔ [327/716] Built Mathlib.Lean.Meta.RefinedDiscrTree.Basic (2.1s)
✔ [328/716] Built Mathlib.Tactic.Clear_ (1.1s)
✔ [329/716] Built Mathlib.Tactic.Constructor (1.2s)
✔ [330/716] Built Mathlib.Tactic.ClearExclamation (970ms)
✔ [331/716] Built Mathlib.Tactic.ClearExcept (1.0s)
✔ [332/716] Built Mathlib.Tactic.ErwQuestion (1.6s)
✔ [333/716] Built Mathlib.Tactic.ApplyWith (1.1s)
✔ [334/716] Built Mathlib.Util.PPOptions (1.0s)
✔ [335/716] Built Mathlib.Tactic.Monotonicity.Attr (1.1s)
✔ [336/716] Built Mathlib.Tactic.Check (1.3s)
✔ [337/716] Built Mathlib.Lean.Meta.Basic (1.3s)
✔ [338/716] Built Mathlib.Util.Tactic (1.1s)
✔ [339/716] Built Mathlib.Tactic.Set (1.5s)
✔ [340/716] Built Mathlib.Tactic.CasesM (1.6s)
✔ [341/716] Built Mathlib.Util.WhatsNew (1.4s)
✔ [342/716] Built Mathlib.Tactic.Coe (1.4s)
✔ [343/716] Built Mathlib.Control.Combinators (1.1s)
✔ [344/716] Built Mathlib.Tactic.Substs (1.1s)
✔ [345/716] Built Mathlib.Tactic.GCongr.ForwardAttr (1.2s)
✔ [346/716] Built Mathlib.Util.AtLocation (1.3s)
✔ [347/716] Built Mathlib.Util.WithWeakNamespace (1.1s)
✔ [348/716] Built Mathlib.Tactic.Spread (1.4s)
✔ [349/716] Built Mathlib.Lean.Elab.Term (1.0s)
✔ [350/716] Built Mathlib.Lean.PrettyPrinter.Delaborator (1.2s)
✔ [351/716] Built Mathlib.Tactic.SimpRw (1.4s)
✔ [352/716] Built Mathlib.Tactic.Conv (1.7s)
✔ [353/716] Built Mathlib.Tactic.WithoutCDot (1.3s)
✔ [354/716] Built Mathlib.Tactic.OfNat (1.1s)
✔ [355/716] Built Mathlib.Tactic.Attr.Register (1.4s)
✔ [356/716] Built Mathlib.Tactic.AdaptationNote (1.4s)
✔ [357/716] Built Mathlib.Util.AssertExistsExt (1.2s)
✔ [358/716] Built Mathlib.Data.Int.Notation (1.2s)
✔ [359/716] Built Mathlib.Data.String.Defs (957ms)
✔ [360/716] Built Mathlib.Util.CompileInductive (2.1s)
✔ [361/716] Built Mathlib.Tactic.ExtendDoc (1.0s)
✔ [362/716] Built Mathlib.Data.Set.Defs (1.0s)
✔ [363/716] Built Mathlib.Tactic.PPWithUniv (1.2s)
✔ [364/716] Built Mathlib.Lean.Name (1.2s)
✔ [365/716] Built Mathlib.Tactic.Eqns (1.2s)
✔ [366/716] Built Mathlib.Tactic.Simps.NotationClass (1.5s)
✔ [367/716] Built Mathlib.Data.Nat.Notation (1.2s)
✔ [368/716] Built Mathlib.Util.MemoFix (1.2s)
✔ [369/716] Built Mathlib.Lean.Expr.Basic (1.8s)
✔ [370/716] Built Mathlib.Data.Array.Defs (1.1s)
✔ [371/716] Built Mathlib.Lean.Meta.Simp (1.5s)
✔ [372/716] Built Mathlib.Tactic.TypeStar (1.1s)
✔ [373/716] Built Batteries.Data.Char (960ms)
✔ [374/716] Built Mathlib.Tactic.Lemma (1.2s)
✔ [375/716] Built Mathlib.Tactic.Simproc.ExistsAndEq (3.1s)
✔ [376/716] Built Batteries.CodeAction (1.0s)
✔ [377/716] Built Batteries.Data.BinomialHeap.Lemmas (1.1s)
✔ [378/716] Built Aesop.Script.UScript (2.1s)
✔ [379/716] Built Aesop.Script.SScript (2.3s)
✔ [380/716] Built Mathlib.Tactic.Linter (1.4s)
✔ [381/716] Built Aesop.RPINF (2.3s)
✔ [382/716] Built Aesop.Stats.Report (2.3s)
✔ [383/716] Built Mathlib.Tactic.Widget.SelectPanelUtils (1.8s)
✔ [384/716] Built Aesop.Script.ScriptM (2.2s)
✔ [385/716] Built Mathlib.Tactic.ApplyAt (1.2s)
✔ [386/716] Built Mathlib.Tactic.SwapVar (1.2s)
✔ [387/716] Built Mathlib.Tactic.ApplyCongr (1.3s)
✔ [388/716] Built Mathlib.Lean.Meta.RefinedDiscrTree.Encode (1.0s)
✔ [389/722] Built Mathlib.Tactic.FunProp.FunctionData (3.2s)
✔ [390/722] Built Mathlib.Lean.Meta.RefinedDiscrTree.Initialize (2.4s)
✔ [391/722] Built Batteries.Data.RBMap.WF (4.8s)
✔ [392/722] Built Mathlib.Tactic.Use (1.0s)
✔ [393/722] Built Mathlib.Tactic.Attr.Core (1.0s)
✔ [394/722] Built Mathlib.Tactic.ToExpr (1.0s)
✔ [395/722] Built Mathlib.Util.AssertExists (1.2s)
✔ [396/722] Built Mathlib.Tactic.ScopedNS (2.6s)
✔ [397/722] Built Mathlib.Tactic.HigherOrder (1.6s)
✔ [398/722] Built Mathlib.Data.Set.CoeSort (1.0s)
✔ [399/722] Built Mathlib.Tactic.ToLevel (1.1s)
✔ [400/722] Built Mathlib.Tactic.Translate.GuessName (1.5s)
✔ [401/722] Built Mathlib.Tactic.RenameBVar (1.2s)
✔ [402/722] Built Mathlib.Util.PrintSorries (1.6s)
✔ [403/722] Built Mathlib.Util.TermReduce (1.5s)
✔ [404/722] Built Mathlib.Lean.Expr.ReplaceRec (1.2s)
✔ [405/722] Built Mathlib.Tactic.Push.Attr (1.6s)
✔ [406/722] Built Mathlib.Data.List.TFAE (1.2s)
✔ [407/722] Built Mathlib.Data.Bracket (1.3s)
✔ [408/722] Built Mathlib.Tactic.Core (1.8s)
✔ [409/722] Built Mathlib.Data.Prod.PProd (1.3s)
✔ [410/722] Built Mathlib.Logic.Function.ULift (1.2s)
✔ [411/722] Built Mathlib.Tactic.Inhabit (1.2s)
✔ [412/722] Built Mathlib.Logic.Nonempty (1.2s)
✔ [413/722] Built Batteries.Data.String.AsciiCasing (1.2s)
✔ [414/722] Built Mathlib.Logic.ExistsUnique (1.6s)
✔ [415/722] Built Mathlib.Util.Delaborators (5.9s)
✔ [416/722] Built Mathlib.Logic.Function.Defs (1.3s)
✔ [417/722] Built Mathlib.Data.Ordering.Basic (1.2s)
✔ [418/722] Built Mathlib.Data.Int.Init (1.8s)
✔ [419/722] Built Mathlib.Data.Option.Defs (1.2s)
✔ [420/722] Built Batteries.Data.BinomialHeap (962ms)
✔ [421/722] Built Mathlib.Lean.Meta (1.2s)
✔ [422/722] Built Mathlib.Tactic.DeprecateTo (1.9s)
✔ [423/722] Built Mathlib.Tactic.Basic (2.7s)
✔ [424/722] Built Aesop.Script.Check (1.7s)
✔ [425/722] Built Mathlib.Tactic.Widget.Conv (1.5s)
✔ [426/722] Built Mathlib.Tactic.Widget.InteractiveUnfold (1.8s)
✔ [427/726] Built Mathlib.Tactic.Widget.Calc (2.0s)
✔ [428/726] Built Batteries.Data.RBMap.Depth (957ms)
✔ [429/726] Built Aesop.Script.UScriptToSScript (2.5s)
✔ [430/726] Built Aesop.RuleTac.GoalDiff (2.4s)
✔ [431/726] Built Mathlib.Lean.Meta.RefinedDiscrTree.Lookup (2.1s)
✔ [432/726] Built Aesop.RulePattern (2.9s)
✔ [433/726] Built Batteries.Data.String (738ms)
✔ [434/726] Built Mathlib.Logic.Nontrivial.Defs (1.2s)
✔ [435/726] Built Mathlib.Tactic.FunProp.Types (2.3s)
✔ [436/726] Built Batteries.Data.RBMap.Alter (1.8s)
✔ [437/726] Built Mathlib.Tactic.WLOG (1.5s)
✔ [438/726] Built Mathlib.Tactic.SplitIfs (1.7s)
✔ [439/726] Built Aesop.Script.SpecificTactics (4.1s)
✔ [440/726] Built Mathlib.Tactic.FBinop (2.5s)
✔ [441/726] Built Mathlib.Lean.Elab.Tactic.Basic (1.1s)
✔ [442/726] Built Mathlib.Logic.Relator (1.3s)
✔ [443/726] Built Mathlib.Tactic.Propose (1.9s)
✔ [444/726] Built Mathlib.Tactic.MkIffOfInductiveProp (2.2s)
✔ [445/727] Built Mathlib.Tactic.Hint (1.9s)
✔ [446/727] Built Mathlib.Tactic.RSuffices (2.1s)
✔ [447/727] Built Mathlib.Tactic.Says (2.4s)
✔ [448/727] Built Mathlib.Logic.Basic (2.9s)
✔ [449/727] Built Mathlib.Data.Nat.Init (3.7s)
✔ [450/727] Built Mathlib.Tactic.TFAE (5.4s)
✔ [451/727] Built Mathlib.Lean.Meta.RefinedDiscrTree (1.1s)
✔ [452/728] Built Aesop.Script.StructureStatic (1.8s)
✔ [453/728] Built Mathlib.Tactic.Lift (2.8s)
✔ [454/728] Built Mathlib.Tactic.DefEqTransformations (3.2s)
✔ [455/728] Built Aesop.Script.StructureDynamic (2.6s)
✔ [456/728] Built Aesop.Forward.RuleInfo (2.2s)
✔ [457/728] Built Mathlib.Data.SProd (1.4s)
✔ [458/728] Built Mathlib.Order.Defs.Unbundled (2.2s)
✔ [459/730] Built Mathlib.Tactic.FunProp.Theorems (3.0s)
✔ [460/730] Built Mathlib.Tactic.Simps.Basic (7.2s)
✔ [461/730] Built Aesop.Script.Main (1.5s)
✔ [462/730] Built Mathlib.Tactic.Subsingleton (2.7s)
✔ [463/730] Built Aesop.Rule.Forward (1.5s)
✔ [464/733] Built Mathlib.Util.Notation3 (10s)
✔ [465/734] Built Mathlib.Tactic.Tauto (3.8s)
✔ [466/743] Built Mathlib.Tactic.Widget.LibraryRewrite (3.3s)
✔ [467/746] Built Mathlib.Tactic.Push (4.2s)
✔ [468/746] Built Mathlib.Tactic.FunProp.Attr (1.8s)
✔ [469/746] Built Mathlib.Order.Bounds.Defs (846ms)
✔ [470/746] Built Mathlib.Logic.Function.Basic (3.2s)
✔ [471/746] Built Aesop.Forward.Match.Types (1.7s)
✔ [472/746] Built Mathlib.Logic.Relation (3.1s)
✔ [473/746] Built Batteries.Data.RBMap.Lemmas (7.2s)
✔ [474/746] Built Mathlib.Tactic.ByContra (2.3s)
✔ [475/746] Built Mathlib.Tactic.Contrapose (2.4s)
✔ [476/748] Built Mathlib.Tactic.ByCases (2.2s)
✔ [477/748] Built Mathlib.Data.Sigma.Basic (2.5s)
✔ [478/748] Built Mathlib.Tactic.GCongr.Core (4.8s)
✔ [479/749] Built Mathlib.Logic.Function.Conjugate (2.2s)
✔ [480/752] Built Batteries.Data.RBMap (987ms)
✔ [481/752] Built Mathlib.Data.Sum.Basic (2.7s)
✔ [482/752] Built Mathlib.Tactic.Choose (3.0s)
✔ [483/752] Built Mathlib.Data.Subtype (2.4s)
✔ [484/757] Built Aesop.Index.Basic (1.8s)
✔ [485/760] Built Mathlib.Logic.IsEmpty (2.2s)
✔ [486/760] Built Mathlib.Tactic.FunProp.Core (6.2s)
✔ [487/760] Built Mathlib.Tactic.GCongr.CoreAttrs (1.8s)
✔ [488/760] Built Batteries (1.5s)
