=== COLD CERT START 20260211T215731Z ===
pwd: /Users/dcharb/Documents/Kimi_Agent_UFRF, Fel Polynomials, Moonshine
✔ [93/727] Built Batteries.Data.Nat.Bitwise (756ms)
✔ [94/727] Built Batteries.Data.DList.Basic (563ms)
✔ [95/727] Built Batteries.Data.ByteSlice (593ms)
✔ [96/727] Built Batteries.Data.Nat.Digits (1.1s)
✔ [97/727] Built Batteries.Data.BitVec.Basic (569ms)
✔ [98/727] Built Batteries.Data.Nat.Basic (577ms)
✔ [99/727] Built Batteries.Data.ByteArray (687ms)
✔ [100/727] Built Batteries.Data.Array.Init.Lemmas (542ms)
✔ [101/727] Built Batteries.Data.Array.Basic (626ms)
✔ [102/727] Built Batteries.Data.Random.MersenneTwister (1.5s)
✔ [103/727] Built Batteries.Data.List.Init.Lemmas (532ms)
✔ [104/727] Built Batteries.Control.ForInStep.Basic (585ms)
✔ [105/727] Built Batteries.Control.Lemmas (682ms)
✔ [106/727] Built Batteries.Data.List.Count (536ms)
✔ [107/727] Built Batteries.Tactic.Lint.Basic (1.1s)
✔ [108/727] Built Batteries.Data.List.ArrayMap (366ms)
✔ [109/727] Built Batteries.Lean.Position (458ms)
✔ [110/727] Built Batteries.Data.Array.Match (1.1s)
✔ [111/727] Built Batteries.Control.LawfulMonadState (1.3s)
✔ [112/727] Built Batteries.Data.Array.Merge (1.6s)
✔ [113/727] Built Batteries.Lean.Except (559ms)
✔ [114/727] Built Batteries.CodeAction.Deprecated (1.1s)
✔ [115/728] Built Batteries.Classes.RatCast (481ms)
✔ [116/728] Built Batteries.CodeAction.Attr (881ms)
✔ [118/728] Built Batteries.Lean.EStateM (779ms)
✔ [119/728] Built Batteries.Data.BinaryHeap (2.2s)
✔ [120/728] Built Batteries.Lean.TagAttribute (647ms)
✔ [121/728] Built Batteries.Tactic.Unreachable (848ms)
✔ [122/728] Built Batteries.Util.ProofWanted (1.0s)
✔ [123/728] Built Batteries.Tactic.SeqFocus (1.1s)
✔ [124/728] Built Batteries.Util.LibraryNote (939ms)
✔ [125/728] Built Batteries.Tactic.Init (1.2s)
✔ [126/728] Built Aesop.Search.Expansion.Simp (822ms)
✔ [127/728] Built Aesop.Util.OrderedHashSet (598ms)
✔ [128/728] Built Aesop.Percent (501ms)
✔ [129/728] Built Aesop.Exception (1.6s)
✔ [130/728] Built Aesop.Frontend.Basic (1.6s)
✔ [131/728] Built Aesop.RuleSet.Name (1.5s)
✔ [132/728] Built Aesop.Script.OptimizeSyntax (1.8s)
✔ [133/728] Built Aesop.Nanos (624ms)
✔ [134/728] Built Aesop.Util.UnionFind (833ms)
✔ [135/728] Built Aesop.Script.GoalWithMVars (1.7s)
✔ [136/728] Built Aesop.ElabM (1.8s)
✔ [137/728] Built Aesop.Util.Unfold (1.9s)
✔ [138/728] Built Aesop.Rule.Name (970ms)
✔ [139/728] Built Aesop.Script.Tactic (1.7s)
✔ [140/728] Built Aesop.Forward.LevelIndex (490ms)
✔ [141/728] Built Aesop.RuleTac.FVarIdSubst (1.9s)
✔ [142/728] Built Aesop.Forward.PremiseIndex (527ms)
✔ [143/728] Built Aesop.Forward.SlotIndex (571ms)
✔ [144/728] Built Aesop.Check (629ms)
✔ [145/728] Built Batteries.Data.Rat.Float (519ms)
✔ [146/728] Built Batteries.Lean.Json (515ms)
✔ [147/728] Built Aesop.Index.DiscrTreeConfig (1.7s)
✔ [148/728] Built Batteries.Data.DList.Lemmas (541ms)
✔ [149/728] Built Batteries.Data.Random (468ms)
✔ [150/728] Built Batteries.Lean.Meta.Simp (1.2s)
✔ [151/728] Built Batteries.Control.ForInStep.Lemmas (568ms)
✔ [152/728] Built Mathlib.Tactic.Linter.Header (1.5s)
✔ [153/728] Built Aesop.Util.Tactic (1.6s)
✔ [154/728] Built Aesop.Options.Public (1.8s)
✔ [155/728] Built Batteries.Data.String.Matcher (557ms)
✔ [156/728] Built Batteries.Data.List.Matcher (546ms)
✔ [157/728] Built Batteries.Tactic.Lint.TypeClass (1.0s)
✔ [159/728] Built Batteries.Control.OptionT (755ms)
✔ [160/728] Built Batteries.Lean.Meta.DiscrTree (592ms)
✔ [161/728] Built Aesop.Util.UnorderedArraySet (699ms)
✔ [162/728] Built Batteries.Lean.AttributeExtra (635ms)
✔ [163/728] Built Batteries.Tactic.Lint.Misc (1.6s)
✔ [164/728] Built Batteries.Tactic.Lint.Frontend (2.1s)
✔ [165/728] Built Batteries.Classes.SatisfiesM (1.1s)
✔ [166/728] Built Batteries.Linter.UnreachableTactic (1.1s)
✔ [167/728] Built Batteries.CodeAction.Basic (1.3s)
✔ [168/728] Built Aesop.Constants (520ms)
✔ [169/728] Built Batteries.Classes.Cast (806ms)
✔ [170/728] Built Batteries.Tactic.GeneralizeProofs (3.6s)
✔ [171/728] Built Batteries.Tactic.Alias (2.2s)
✔ [172/728] Built Batteries.Data.Rat (426ms)
✔ [173/728] Built Aesop.RPINF.Basic (4.0s)
✔ [174/728] Built Aesop.RuleTac.RuleTerm (566ms)
✔ [175/728] Built Batteries.Tactic.Lint.Simp (1.7s)
✔ [176/728] Built Batteries.CodeAction.Misc (2.6s)
✔ [177/728] Built Batteries.Data.DList (472ms)
✔ [178/728] Built Batteries.Control.ForInStep (512ms)
✔ [179/728] Built Aesop.RuleTac.ElabRuleTerm (1.7s)
✔ [180/728] Built Aesop.RuleSet.Filter (1.6s)
✔ [181/728] Built Mathlib.Lean.Elab.Tactic.Meta (1.0s)
✔ [182/728] Built Aesop.Util.Tactic.Unfold (2.0s)
✔ [183/728] Built Mathlib.Tactic.DeclarationNames (946ms)
✔ [184/728] Built Mathlib.Tactic.Linter.OldObtain (1.0s)
✔ [185/728] Built Mathlib.Tactic.Linter.UnusedTacticExtension (1.1s)
✔ [186/728] Built Mathlib.Tactic.MinImports (1.4s)
✔ [187/729] Built Mathlib.Tactic.Linter.Multigoal (1.1s)
✔ [190/729] Built Mathlib.Tactic.Linter.GlobalAttributeIn (1.2s)
✔ [191/729] Built Batteries.Tactic.HelpCmd (3.7s)
✔ [192/729] Built Mathlib.Tactic.Linter.HashCommandLinter (1.3s)
✔ [193/729] Built Batteries.Control.AlternativeMonad (842ms)
✔ [194/729] Built Mathlib.Tactic.Linter.DocString (1.3s)
✔ [195/729] Built Mathlib.Tactic.Linter.CommandStart (1.2s)
✔ [196/729] Built Mathlib.Tactic.Linter.DeprecatedSyntaxLinter (1.4s)
✔ [197/729] Built Mathlib.Tactic.Linter.DocPrime (1.5s)
✔ [198/729] Built Mathlib.Tactic.Linter.FlexibleLinter (1.9s)
✔ [199/729] Built Aesop.Options.Internal (1.4s)
✔ [200/729] Built Batteries.Lean.Util.EnvSearch (755ms)
✔ [201/729] Built Batteries.Lean.SatisfiesM (760ms)
✔ [202/729] Built Batteries.Data.List.Monadic (612ms)
✔ [203/729] Built Batteries.Data.Range.Lemmas (1.0s)
✔ [204/729] Built Batteries.Linter.UnnecessarySeqFocus (1.6s)
✔ [205/729] Built Batteries.Data.HashMap.Basic (1.2s)
✔ [206/729] Built Batteries.Tactic.Exact (1.2s)
✔ [207/729] Built Batteries.Data.Nat.Gcd (1.1s)
✔ [208/729] Built Batteries.Logic (1.2s)
✔ [209/729] Built Batteries.Data.Nat.Lemmas (1.4s)
✔ [210/730] Built Batteries.Control.Monad (979ms)
✔ [211/730] Built Batteries.Data.Array.Monadic (2.3s)
✔ [212/730] Built Batteries.Tactic.Lint (845ms)
✔ [214/730] Built Batteries.Data.Array.Pairwise (1.3s)
✔ [215/730] Built Mathlib.Lean.ContextInfo (818ms)
✔ [217/730] Built Mathlib.Tactic.Linter.UnusedTactic (1.2s)
✔ [218/730] Built Batteries.Lean.Meta.Basic (754ms)
✔ [219/730] Built Aesop.Util.Basic (3.8s)
✔ [220/730] Built Batteries.Data.MLList.Basic (1.1s)
✔ [221/730] Built Batteries.Data.UnionFind.Basic (3.7s)
✔ [222/730] Built Mathlib.Tactic.Linter.MinImports (1.5s)
✔ [223/730] Built Mathlib.Tactic.ExtractGoal (1.6s)
✔ [224/730] Built Aesop.Options (1.5s)
✔ [225/733] Built Batteries.Tactic.PrintPrefix (1.1s)
✔ [226/734] Built Batteries.Data.Range (1.1s)
✔ [229/734] Built Batteries.Linter (955ms)
✔ [230/734] Built Mathlib.Tactic.Linter.Style (2.3s)
✔ [231/734] Built Batteries.Data.HashMap (1.1s)
✔ [232/734] Built Batteries.Data.List.Basic (3.4s)
✔ [233/734] Built Batteries.Data.Fin.OfBits (965ms)
✔ [234/734] Built Batteries.Data.Int (1.1s)
✔ [235/734] Built Batteries.Data.Vector.Monadic (948ms)
✔ [236/734] Built Batteries.Data.Fin.Basic (1.6s)
✔ [237/734] Built Batteries.Lean.Meta.SavedState (639ms)
✔ [238/734] Built Mathlib.Tactic.Linter.Lint (1.2s)
✔ [239/734] Built Batteries.Lean.Meta.InstantiateMVars (662ms)
✔ [240/738] Built Batteries.Data.MLList.IO (508ms)
✔ [241/738] Built Mathlib.Tactic.TacticAnalysis (1.5s)
✔ [244/738] Built Batteries.Data.MLList.Heartbeats (640ms)
✔ [245/738] Built Batteries.Control.Nondet.Basic (900ms)
✔ [246/738] Built Aesop.Script.TacticState (1.8s)
✔ [247/738] Built Aesop.Util.EqualUpToIds (1.0s)
✔ [248/738] Built Batteries.Tactic.Basic (1.1s)
✔ [249/738] Built Batteries.Data.UnionFind.Lemmas (1.3s)
✔ [250/738] Built Batteries.Data.List.Pairwise (740ms)
✔ [251/738] Built Batteries.Data.List.Scan (976ms)
✔ [252/738] Built Aesop.Script.CtorNames (2.0s)
✔ [253/738] Built Aesop.Forward.Substitution (2.3s)
✔ [254/738] Built Aesop.Tracing (2.2s)
✔ [255/738] Built Batteries.Data.AssocList (1.7s)
✔ [256/738] Built Batteries.Data.MLList (748ms)
✔ [257/738] Built Batteries.Data.Vector (1.3s)
✔ [258/741] Built Batteries.Data.BitVec.Lemmas (1.8s)
✔ [259/741] Built Batteries.Classes.Order (1.1s)
✔ [260/741] Built Batteries.Data.UnionFind (937ms)
✔ [261/743] Built Batteries.Data.Fin.Fold (2.2s)
✔ [262/743] Built Batteries.Data.Fin.Lemmas (2.1s)
✔ [263/743] Built Aesop.Script.Util (2.0s)
✔ [264/743] Built Aesop.RuleTac.Forward.Basic (2.2s)
✔ [265/743] Built Mathlib.Tactic.TacticAnalysis.Declarations (2.6s)
✔ [266/743] Built Batteries.Data.List.Lemmas (3.8s)
✔ [267/743] Built Batteries.Data.BitVec (868ms)
✔ [268/743] Built Batteries.Data.Nat.Bisect (2.5s)
✔ [269/743] Built Aesop.RulePattern.Cache (1.9s)
✔ [270/746] Built Batteries.Data.UInt (1.1s)
✔ [271/746] Built Aesop.Stats.Basic (2.1s)
✔ [272/746] Built Aesop.Util.Tactic.Ext (2.1s)
✔ [273/746] Built Batteries.Data.Char.Basic (1.5s)
✔ [274/746] Built Batteries.Data.Fin (1.0s)
✔ [275/746] Built Batteries.Data.PairingHeap (1.7s)
✔ [276/746] Built Batteries.Classes.Deprecated (1.5s)
✔ [277/746] Built Batteries.Data.Array.Lemmas (1.1s)
✔ [278/746] Built Mathlib.Init (1.3s)
✔ [279/748] Built Batteries.Data.Nat (1.2s)
✔ [280/748] Built Batteries.Data.List.Perm (1.4s)
✔ [281/748] Built Aesop.Script.Step (2.4s)
✔ [282/748] Built Batteries.Data.RBMap.Basic (3.7s)
✔ [283/748] Built Aesop.Stats.Extension (1.8s)
✔ [284/748] Built Batteries.Data.Array (1.2s)
✔ [285/748] Built Batteries.Data.Char.AsciiCasing (1.3s)
✔ [286/748] Built Aesop.BaseM (1.0s)
✔ [287/748] Built Batteries.Data.String.Lemmas (4.5s)
✔ [288/748] Built Mathlib.Logic.OpClass (1.2s)
✔ [289/748] Built Mathlib.Data.Nat.BinaryRec (1.4s)
✔ [290/748] Built Mathlib.Util.TransImports (1.2s)
✔ [291/748] Built Mathlib.Lean.GoalsLocation (1.2s)
✔ [292/748] Built Mathlib.Lean.Meta.KAbstractPositions (1.2s)
✔ [293/748] Built Mathlib.Tactic.StacksAttribute (1.5s)
✔ [294/748] Built Mathlib.Tactic.Widget.SelectInsertParamsClass (1.2s)
✔ [295/748] Built Mathlib.Util.AtomM (2.4s)
✔ [296/748] Built Mathlib.Util.CountHeartbeats (1.0s)
✔ [297/748] Built Mathlib.Tactic.UnsetOption (1.1s)
✔ [298/748] Built Mathlib.Tactic.TypeCheck (1.1s)
✔ [299/748] Built Mathlib.Tactic.FastInstance (2.7s)
✔ [300/748] Built Mathlib.Tactic.SudoSetOption (1.2s)
✔ [301/748] Built Mathlib.Tactic.Trace (1.2s)
✔ [302/748] Built Mathlib.Tactic.SuccessIfFailWithMsg (1.3s)
✔ [303/748] Built Mathlib.Tactic.Variable (2.5s)
✔ [304/748] Built Batteries.Data.BinomialHeap.Basic (6.4s)
✔ [305/748] Built Mathlib.Tactic.Rename (1.2s)
✔ [306/748] Built Mathlib.Tactic.SimpIntro (1.5s)
✔ [307/748] Built Mathlib.Tactic.Relation.Rfl (1.1s)
✔ [308/748] Built Mathlib.Tactic.Linter.UpstreamableDecl (1.2s)
✔ [309/748] Built Mathlib.Tactic.NthRewrite (1.2s)
✔ [310/748] Built Mathlib.Tactic.Recover (1.5s)
✔ [311/748] Built Mathlib.Tactic.Linter.PPRoundtrip (1.4s)
✔ [312/748] Built Mathlib.Tactic.Observe (1.5s)
✔ [313/748] Built Mathlib.Tactic.Linter.HaveLetLinter (1.5s)
✔ [314/748] Built Mathlib.Tactic.GuardHypNums (1.2s)
✔ [315/748] Built Mathlib.Tactic.InferParam (1.2s)
✔ [316/748] Built Mathlib.Tactic.GuardGoalNums (1.2s)
✔ [317/748] Built Mathlib.Tactic.Linter.DeprecatedModule (1.7s)
✔ [318/748] Built Mathlib.Lean.Elab.InfoTree (1.2s)
✔ [319/748] Built Mathlib.Tactic.FunProp.ToBatteries (1.4s)
✔ [320/748] Built Mathlib.Tactic.FunProp.Mor (1.4s)
✔ [321/748] Built Mathlib.Tactic.ExistsI (1.2s)
✔ [322/748] Built Mathlib.Lean.Meta.RefinedDiscrTree.Basic (1.9s)
✔ [323/748] Built Mathlib.Tactic.Constructor (1.2s)
✔ [324/748] Built Mathlib.Tactic.FailIfNoProgress (1.5s)
✔ [325/748] Built Mathlib.Tactic.Find (1.7s)
✔ [326/748] Built Mathlib.Tactic.FunProp.Decl (1.9s)
✔ [327/748] Built Mathlib.Tactic.ClearExcept (875ms)
✔ [328/748] Built Mathlib.Tactic.Clear_ (1.2s)
✔ [329/748] Built Mathlib.Tactic.ErwQuestion (1.7s)
✔ [330/748] Built Mathlib.Tactic.ClearExclamation (1.1s)
✔ [331/748] Built Mathlib.Tactic.Monotonicity.Attr (1.1s)
✔ [332/748] Built Mathlib.Tactic.ApplyWith (1.2s)
✔ [333/748] Built Mathlib.Util.PPOptions (1.1s)
✔ [334/748] Built Mathlib.Tactic.Check (1.4s)
✔ [335/748] Built Mathlib.Lean.Meta.Basic (1.3s)
✔ [336/748] Built Mathlib.Util.Tactic (1.2s)
✔ [337/748] Built Mathlib.Tactic.Set (1.5s)
✔ [338/748] Built Mathlib.Tactic.Coe (1.4s)
✔ [339/748] Built Mathlib.Tactic.CasesM (1.7s)
✔ [340/748] Built Mathlib.Util.WhatsNew (1.6s)
✔ [341/748] Built Mathlib.Control.Combinators (1.2s)
✔ [342/748] Built Mathlib.Util.AtLocation (1.4s)
✔ [343/748] Built Mathlib.Tactic.Substs (1.3s)
✔ [344/748] Built Mathlib.Tactic.GCongr.ForwardAttr (1.4s)
✔ [345/748] Built Mathlib.Util.WithWeakNamespace (1.3s)
✔ [346/748] Built Mathlib.Lean.Elab.Term (1.2s)
✔ [347/748] Built Mathlib.Tactic.Spread (1.8s)
✔ [348/748] Built Mathlib.Lean.PrettyPrinter.Delaborator (1.4s)
✔ [349/748] Built Mathlib.Tactic.Conv (2.0s)
✔ [350/748] Built Mathlib.Tactic.WithoutCDot (1.3s)
✔ [351/748] Built Mathlib.Tactic.SimpRw (1.7s)
✔ [352/748] Built Mathlib.Tactic.Attr.Register (1.5s)
✔ [353/748] Built Mathlib.Data.Int.Notation (1.2s)
✔ [354/748] Built Mathlib.Tactic.OfNat (1.2s)
✔ [355/748] Built Mathlib.Tactic.AdaptationNote (1.6s)
✔ [356/748] Built Mathlib.Util.AssertExistsExt (1.2s)
✔ [357/748] Built Mathlib.Data.String.Defs (1.2s)
✔ [358/748] Built Mathlib.Util.CompileInductive (2.2s)
✔ [359/748] Built Mathlib.Data.Set.Defs (2.0s)
✔ [360/748] Built Mathlib.Tactic.ExtendDoc (1.1s)
✔ [361/748] Built Mathlib.Tactic.Eqns (1.2s)
✔ [362/748] Built Mathlib.Tactic.PPWithUniv (1.3s)
✔ [363/748] Built Mathlib.Lean.Name (1.3s)
✔ [364/748] Built Mathlib.Tactic.Simps.NotationClass (1.6s)
✔ [365/748] Built Mathlib.Data.Nat.Notation (1.1s)
✔ [366/748] Built Mathlib.Util.MemoFix (1.2s)
✔ [367/748] Built Mathlib.Lean.Meta.Simp (1.5s)
✔ [368/748] Built Mathlib.Data.Array.Defs (1.2s)
✔ [369/748] Built Mathlib.Lean.Expr.Basic (1.9s)
✔ [370/748] Built Mathlib.Tactic.Lemma (1.0s)
✔ [371/748] Built Mathlib.Tactic.TypeStar (1.1s)
✔ [372/748] Built Batteries.Data.List (953ms)
✔ [373/748] Built Batteries.Data.Char (924ms)
✔ [374/748] Built Mathlib.Tactic.Simproc.ExistsAndEq (3.3s)
✔ [375/748] Built Aesop.Script.SScript (1.0s)
✔ [376/748] Built Aesop.Script.UScript (2.0s)
✔ [377/748] Built Batteries.Data.BinomialHeap.Lemmas (1.4s)
✔ [378/748] Built Aesop.Stats.Report (2.5s)
✔ [379/748] Built Mathlib.Tactic.Linter (1.5s)
✔ [380/748] Built Aesop.RPINF (2.3s)
✔ [381/748] Built Aesop.Script.ScriptM (2.0s)
✔ [382/748] Built Mathlib.Tactic.Widget.SelectPanelUtils (2.1s)
✔ [383/748] Built Mathlib.Lean.Meta.RefinedDiscrTree.Encode (1.9s)
✔ [384/748] Built Mathlib.Tactic.SwapVar (1.3s)
✔ [385/748] Built Mathlib.Tactic.ApplyCongr (1.3s)
✔ [386/748] Built Mathlib.Tactic.ApplyAt (1.6s)
✔ [387/748] Built Mathlib.Lean.Meta.RefinedDiscrTree.Initialize (2.3s)
✔ [388/748] Built Mathlib.Tactic.FunProp.FunctionData (3.3s)
✔ [389/748] Built Mathlib.Tactic.Use (1.9s)
✔ [390/749] Built Mathlib.Tactic.Attr.Core (955ms)
✔ [391/749] Built Batteries.Data.RBMap.WF (4.9s)
✔ [392/749] Built Mathlib.Tactic.ScopedNS (2.4s)
✔ [393/749] Built Mathlib.Tactic.ToExpr (1.3s)
✔ [394/749] Built Mathlib.Tactic.HigherOrder (1.4s)
✔ [395/749] Built Mathlib.Util.AssertExists (1.4s)
✔ [396/749] Built Mathlib.Data.Set.CoeSort (995ms)
✔ [397/749] Built Mathlib.Tactic.ToLevel (1.1s)
✔ [398/749] Built Mathlib.Lean.Expr.ReplaceRec (1.1s)
✔ [399/749] Built Mathlib.Tactic.Translate.GuessName (1.6s)
✔ [400/749] Built Mathlib.Tactic.RenameBVar (1.2s)
✔ [401/749] Built Mathlib.Util.TermReduce (1.3s)
✔ [402/749] Built Mathlib.Util.PrintSorries (1.6s)
✔ [403/749] Built Mathlib.Tactic.Push.Attr (1.5s)
✔ [404/749] Built Mathlib.Data.Option.Defs (1.2s)
✔ [405/749] Built Mathlib.Data.Ordering.Basic (1.3s)
✔ [406/749] Built Mathlib.Tactic.Core (1.7s)
✔ [407/749] Built Mathlib.Logic.Function.Defs (1.3s)
✔ [408/749] Built Mathlib.Tactic.DeprecateTo (1.8s)
✔ [409/749] Built Mathlib.Order.Bounds.Defs (1.3s)
✔ [410/749] Built Mathlib.Data.Prod.PProd (1.3s)
✔ [411/749] Built Mathlib.Data.List.TFAE (1.4s)
✔ [412/749] Built Mathlib.Data.Bracket (1.1s)
✔ [413/749] Built Mathlib.Logic.Function.ULift (1.2s)
✔ [414/749] Built Mathlib.Data.Int.Init (1.9s)
✔ [415/749] Built Mathlib.Tactic.Inhabit (1.3s)
✔ [416/749] Built Mathlib.Logic.Nonempty (1.3s)
✔ [417/749] Built Mathlib.Util.Delaborators (6.3s)
✔ [418/749] Built Mathlib.Logic.ExistsUnique (1.5s)
✔ [419/749] Built Batteries.Data.BinomialHeap (979ms)
✔ [420/749] Built Batteries.Data.String.AsciiCasing (1.2s)
✔ [421/749] Built Batteries.CodeAction.Match (1.5s)
✔ [422/749] Built Aesop.Script.Check (1.7s)
✔ [423/750] Built Aesop.Script.UScriptToSScript (2.1s)
✔ [424/752] Built Mathlib.Tactic.Basic (2.5s)
✔ [425/752] Built Mathlib.Tactic.Widget.Calc (1.8s)
✔ [426/752] Built Aesop.RuleTac.GoalDiff (2.4s)
✔ [427/752] Built Mathlib.Tactic.Widget.Conv (1.8s)
✔ [428/752] Built Aesop.RulePattern (2.8s)
✔ [429/752] Built Mathlib.Tactic.Widget.InteractiveUnfold (2.2s)
✔ [430/752] Built Batteries.Data.RBMap.Depth (1.1s)
✔ [431/752] Built Mathlib.Lean.Meta.RefinedDiscrTree.Lookup (2.1s)
✔ [432/752] Built Mathlib.Tactic.FunProp.Types (2.5s)
✔ [433/752] Built Batteries.Data.RBMap.Alter (1.8s)
✔ [434/752] Built Mathlib.Logic.Nontrivial.Defs (1.4s)
✔ [435/752] Built Mathlib.Logic.Relator (1.4s)
✔ [436/752] Built Aesop.Script.SpecificTactics (4.1s)
✔ [437/752] Built Mathlib.Tactic.WLOG (1.7s)
✔ [438/752] Built Mathlib.Tactic.SplitIfs (1.7s)
✔ [439/752] Built Batteries.Data.String (959ms)
✔ [440/752] Built Batteries.CodeAction (1.1s)
✔ [441/752] Built Mathlib.Tactic.FBinop (2.5s)
✔ [442/752] Built Mathlib.Data.Option.NAry (1.5s)
✔ [443/752] Built Aesop.Script.StructureStatic (2.3s)
✔ [444/752] Built Aesop.Script.StructureDynamic (2.0s)
✔ [445/752] Built Mathlib.Tactic.Hint (2.5s)
✔ [446/752] Built Mathlib.Tactic.RSuffices (2.1s)
✔ [447/752] Built Mathlib.Tactic.Says (2.0s)
✔ [448/752] Built Mathlib.Tactic.TFAE (4.0s)
✔ [449/752] Built Mathlib.Logic.Basic (3.4s)
✔ [450/752] Built Mathlib.Data.Nat.Init (4.1s)
✔ [451/752] Built Mathlib.Lean.Meta.RefinedDiscrTree (1.3s)
✔ [452/752] Built Mathlib.Tactic.DefEqTransformations (2.6s)
✔ [453/752] Built Mathlib.Tactic.Lift (2.6s)
✔ [454/752] Built Mathlib.Order.Defs.Unbundled (1.6s)
✔ [455/757] Built Aesop.Forward.RuleInfo (2.5s)
✔ [456/757] Built Mathlib.Data.SProd (1.1s)
✔ [457/757] Built Mathlib.Lean.Meta (1.5s)
✔ [458/760] Built Aesop.Script.Main (1.0s)
✔ [459/760] Built Mathlib.Tactic.FunProp.Theorems (3.5s)
✔ [460/760] Built Mathlib.Util.Notation3 (10s)
✔ [461/761] Built Mathlib.Tactic.Simps.Basic (7.9s)
✔ [462/761] Built Mathlib.Tactic.Subsingleton (2.6s)
✔ [463/761] Built Mathlib.Logic.Function.Basic (3.4s)
✔ [464/761] Built Aesop.Rule.Forward (2.0s)
✔ [465/763] Built Mathlib.Tactic.Propose (1.9s)
✔ [466/763] Built Mathlib.Lean.Elab.Tactic.Basic (1.2s)
✔ [467/763] Built Mathlib.Tactic.Widget.LibraryRewrite (3.6s)
✔ [468/763] Built Mathlib.Tactic.Push (4.1s)
✔ [469/763] Built Mathlib.Tactic.MkIffOfInductiveProp (1.9s)
✔ [470/763] Built Mathlib.Tactic.FunProp.Attr (2.0s)
✔ [471/766] Built Batteries.Data.RBMap.Lemmas (6.8s)
✔ [472/766] Built Aesop.Forward.Match.Types (1.8s)
✔ [473/766] Built Mathlib.Tactic.GCongr.Core (4.6s)
✔ [474/766] Built Mathlib.Data.Sigma.Basic (2.5s)
✔ [475/766] Built Mathlib.Logic.Function.Conjugate (2.6s)
✔ [476/766] Built Mathlib.Tactic.Choose (3.2s)
✔ [477/766] Built Mathlib.Data.Subtype (2.7s)
✔ [478/772] Built Mathlib.Logic.IsEmpty (2.8s)
✔ [479/772] Built Mathlib.Tactic.ByContra (2.7s)
✔ [480/772] Built Batteries.Data.RBMap (1.1s)
✔ [481/772] Built Mathlib.Tactic.Contrapose (2.7s)
✔ [482/772] Built Mathlib.Tactic.ByCases (2.3s)
✔ [483/772] Built Mathlib.Data.Sum.Basic (2.5s)
✔ [484/772] Built Aesop.Index.Basic (1.8s)
✔ [485/774] Built Mathlib.Tactic.Tauto (4.6s)
✔ [486/774] Built Mathlib.Logic.Relation (2.0s)
✔ [487/774] Built Mathlib.Tactic.GCongr.CoreAttrs (2.1s)
✔ [488/774] Built Mathlib.Tactic.FunProp.Core (6.7s)
