claim_id,source_path,claim_text,assumptions,lane,route,confidence,notes
CA-0011,"RequestedInfo/Constants/UFRF Mathematical Constants_ Musical Intervals and Cyclical Systems Milestone Review.md","Tzolkin identity 260 = 13 * 20.","Integer arithmetic identity.","Kernel","Lean-now","1.00","Already aligns with existing cycle arithmetic style."
CA-0012,"RequestedInfo/Constants/UFRF Mathematical Constants_ Musical Intervals and Cyclical Systems Milestone Review.md","An extended unified field equation introduces harmonic factor H_mu(c,p).","Interpretation requires formal type/domain declarations.","Physics bridge","Conjecture","0.35","Scaffold symbolically, then specialize to finite discrete forms."
CA-0013,"RequestedInfo/Constants/inverse_relationships_for_constants.md","For nonzero constant c, inverse is defined as 1/c.","Assume c != 0.","Kernel","Lean-now","1.00","Foundational algebraic definition."
CA-0014,"RequestedInfo/Constants/inverse_relationships_for_constants.md","Interval inversion swaps ratio a:b to b:a (with a,b>0).","Assume positive rational interval ratios.","Bridge","Lean-now","0.95","Good for ratio-only formalization track."
CA-0015,"RequestedInfo/Constants/inverse_relationships_for_constants.md","Golden-ratio inverse identity holds: 1/phi = phi - 1.","phi satisfies phi^2 = phi + 1 and phi > 0.","Kernel","Lean-now","1.00","High-value exact identity for core constants layer."
CA-0016,"RequestedInfo/Constants/inverse_relationships_for_constants.md","Silver-ratio inverse identity: 1/(1+sqrt(2)) = sqrt(2) - 1.","Real sqrt(2) > 0.","Kernel","Lean-now","0.98","Another exact identity candidate."
CA-0017,"RequestedInfo/Constants/inverse_relationships_for_constants.md","The major-third/minor-sixth pair is treated as inverse-complementary under interval inversion.","Requires fixed interval normalization convention (octave reduction).","Bridge","Compute-first","0.70","Formalize convention before proving equivalence classes."
CA-0018,"RequestedInfo/Constants/inverse_relationships_for_constants.md","A recurring complementary-interval pattern (e.g., fifth/fourth, major-third/minor-sixth) is proposed across constants.","Depends on mapping rule from constants to intervals.","Bridge","Compute-first","0.60","Can be tested after deterministic mapping is encoded."
CA-0019,"RequestedInfo/Constants/inverse_relationships_for_constants.md","The inverse of pi is approximately 0.3183 and interpreted as circle/line harmonic bridge.","Numerical approximation plus interpretive layer.","Physics bridge","Conjecture","0.30","Keep interpretation separate from numeric fact."
CA-0020,"RequestedInfo/Constants/inverse_relationships_for_constants.md","Inverse relationships are proposed as dimensional-interface bridges across the framework.","Conceptual claim without formal operator semantics yet.","Physics bridge","Conjecture","0.25","Needs explicit representation/projection semantics."
CA-0021,"RequestedInfo/Constants/Classical Mathematical Constants in UFRF Triadic Framework.md","Triad balance is defined as B(a,b,c)=(a*b*c)/(a+b+c).","Assume denominator nonzero.","Kernel","Lean-now","1.00","Pure algebraic definition; safe for formal layer."
CA-0022,"RequestedInfo/Constants/Classical Mathematical Constants in UFRF Triadic Framework.md","The triad value B(e,pi,phi) is claimed to be near phi.","Requires fixed numeric precision and constants source.","Evidence","Compute-first","0.75","Add deterministic numeric check."
CA-0023,"RequestedInfo/Constants/Classical Mathematical Constants in UFRF Triadic Framework.md","Interface constants are tied to polynomial identities: phi^2=phi+1, silver ratio satisfies x^2=2x+1, plastic ratio satisfies x^3=x+1.","Use canonical positive real roots for named constants.","Kernel","Lean-now","0.95","High-value exact-identity bundle."
CA-0024,"RequestedInfo/Constants/Classical Mathematical Constants in UFRF Triadic Framework.md","A constant-to-interval mapping is proposed (e.g., pi to perfect fifth).","Needs deterministic interval-assignment rule.","Bridge","Compute-first","0.65","Potential conflict with alternate mappings in other docs."
CA-0025,"RequestedInfo/Constants/Classical Mathematical Constants in UFRF Triadic Framework.md","The triad (pi,e,gamma) is presented as governing continuous-discrete prime structure relationships.","Interpretive claim without formal mechanism.","Anchor","Conjecture","0.35","Do not promote until mechanism is formalized."
CA-0026,"RequestedInfo/Constants/Mathematical Constants and Harmonic Intervals in the UFRF Framework.md","A mapping pipeline is proposed: use log2 decomposition to map a constant to a base ratio in [1,2) and then to the nearest musical interval.","Assume explicit tie-break policy for nearest-interval collisions.","Bridge","Compute-first","0.80","Good candidate for reproducible classifier script."
CA-0027,"RequestedInfo/Constants/Mathematical Constants and Harmonic Intervals in the UFRF Framework.md","Resonance claims tie interval classes to arithmetic position classes (e.g., multiples of 3 or 4).","Requires exact resonance function and benchmark baseline.","Evidence","Compute-first","0.55","Test statistically before theory promotion."
CA-0028,"RequestedInfo/Constants/Mathematical Constants and Harmonic Intervals in the UFRF Framework.md","Plastic-ratio coordinate transforms are proposed using powers of rho and claimed to preserve selected geometric properties.","Needs explicit transform matrix/operator and invariant list.","Physics bridge","Compute-first","0.50","Route via representation layer."
CA-0029,"RequestedInfo/Constants/Mathematical Constants and Harmonic Intervals in the UFRF Framework.md","Geometric transforms are interpreted harmonically (e.g., rotation by 2*pi/13 as phase shift, inversion as interval reflection).","Requires explicit equivalence map between geometric and harmonic actions.","Bridge","Conjecture","0.40","Model as bridge conjecture first."
CA-0030,"RequestedInfo/Constants/Mathematical Constants and Harmonic Intervals in the UFRF Framework.md","A multi-constant resonance model is proposed as weighted sum Resonance(n)=sum_i w_i*R_i(n).","Assume fixed weights and per-constant resonance definitions.","Kernel","Lean-now","0.90","Formalize generic weighted-model skeleton."
CA-0031,"RequestedInfo/Constants/Comprehensive Systematic Analysis_ All Mathematical Constants in UFRF Framework.md","Principle claim: each constant achieves unity within its own mathematical context.","Conceptual statement spanning multiple domains.","Anchor","Conjecture","0.30","Keep as organizing hypothesis, not theorem."
CA-0032,"RequestedInfo/Constants/Comprehensive Systematic Analysis_ All Mathematical Constants in UFRF Framework.md","Interface-family claim: constants arise as positive roots of x^n - x - 1 = 0 for selected n (phi/rho/psi-style chain).","Requires exact per-constant polynomial specification.","Kernel","Compute-first","0.70","Promote only after per-constant root checks."
CA-0033,"RequestedInfo/Constants/Comprehensive Systematic Analysis_ All Mathematical Constants in UFRF Framework.md","Exact claim in document: B(phi,delta,rho)=phi.","Depends on delta and rho definitions used in this corpus.","Evidence","Compute-first","0.05","Flag as likely conflict; verify numerically before reuse."
CA-0034,"RequestedInfo/Constants/Comprehensive Systematic Analysis_ All Mathematical Constants in UFRF Framework.md","Several triads are reported with balance values near phi (about 1.61-1.62).","Requires reproducible constant set and precision policy.","Evidence","Compute-first","0.60","Can be batch-verified with one script."
CA-0035,"RequestedInfo/Constants/Comprehensive Systematic Analysis_ All Mathematical Constants in UFRF Framework.md","Special-function identity claim: omega constant satisfies Omega*exp(Omega)=1.","Omega defined as principal solution of Lambert W at 1.","Kernel","Compute-first","0.85","Numerically and symbolically check in compute lane first."
CA-0036,"RequestedInfo/Constants/Comprehensive Systematic Analysis_ All Mathematical Constants in UFRF Framework.md","Number-theory constants are assigned specific 'triadic roles' and harmonic intervals.","Requires deterministic role-assignment rule.","Bridge","Conjecture","0.30","Likely interpretive unless rule is formalized."
CA-0037,"_archive/2026-02-11_repo_cleanup_phase2/outdated_root_docs/UFRF_Phase_Locking_System_Levels_Information_Processing.docx","System levels SL0..SL12 are claimed concurrent (not sequential), each carrying a 13-position breathing cycle with flip and rest structure.","Requires explicit formal object for level-indexed concurrent cycles.","Bridge","Conjecture","0.45","Concept aligns with existing recursive/index-of-indexes lane."
CA-0038,"_archive/2026-02-11_repo_cleanup_phase2/outdated_root_docs/UFRF_Phase_Locking_System_Levels_Information_Processing.docx","SL2 phase-locking is reported near-perfect for selected pairs (STD around or below 0.01-0.025 rad).","Needs reproducible dataset and exact phase-estimation pipeline.","Evidence","Compute-first","0.70","Treat as empirical until re-run from raw data."
CA-0039,"_archive/2026-02-11_repo_cleanup_phase2/outdated_root_docs/UFRF_Phase_Locking_System_Levels_Information_Processing.docx","A 24-block periodic refresh structure is reported for SL2, with anti-phase and in-phase groups.","Requires deterministic segmentation and autocorrelation procedure.","Evidence","Compute-first","0.75","Good compute-first target in observer/projection lane."
CA-0040,"_archive/2026-02-11_repo_cleanup_phase2/outdated_root_docs/UFRF_Phase_Locking_System_Levels_Information_Processing.docx","Mirror pairing SL5<->SL6, SL4<->SL7, SL3<->SL8 with a non-mirrored REST hub is asserted.","Needs precise map from system-level index to mirror involution.","Kernel","Lean-now","0.60","Can formalize as finite-index involution + fixed-point REST."
CA-0041,"_archive/2026-02-11_repo_cleanup_phase2/outdated_root_docs/UFRF_Phase_Locking_System_Levels_Information_Processing.docx","Harmonic peaks at 0.125, 0.25, 0.5 are interpreted as octave-doubling coherence structure.","Needs spectral method specification and confidence intervals.","Evidence","Compute-first","0.65","Potentially overlaps existing harmonic scripts."
CA-0042,"_archive/2026-02-11_repo_cleanup_phase2/outdated_root_docs/UFRF_Phase_Locking_System_Levels_Information_Processing.docx","Three concurrent encoding channels (amplitude, frequency, phase) are claimed across scale levels.","Requires formal channel model and observables per level.","Physics bridge","Conjecture","0.40","Keep in bridge scaffolding until operators are formal."
CA-0043,"_archive/2026-02-11_repo_cleanup_phase2/outdated_root_docs/UFRF_Phase_Locking_System_Levels_Information_Processing.docx","Claim links flip position to RH critical-line interpretation Re(s)=1/2.","Interpretive bridge from geometric model to RH statement.","Anchor","Conjecture","0.20","Do not promote to theorem without strict derivation."
CA-0044,"RequestedInfo/Constants/UFRF Constants Discovery_ Comprehensive Analysis of Triadic Emergence and Natural Patterns.md","For each n>=2, define interface constant C(n) as the unique real root > 1 of x^n = x + 1.","Uniqueness/existence must be shown per n (or by general analysis).","Kernel","Compute-first","0.80","High-value formalization candidate after root-existence scaffold."
CA-0045,"RequestedInfo/Constants/UFRF Constants Discovery_ Comprehensive Analysis of Triadic Emergence and Natural Patterns.md","Dimensional compression hypothesis: C(n) decreases with n and converges to 1 as n→∞.","Requires rigorous monotonicity and limit proof.","Kernel","Conjecture","0.45","Potential Lean target later via real-analysis lemmas."
CA-0046,"RequestedInfo/Constants/UFRF Constants Discovery_ Comprehensive Analysis of Triadic Emergence and Natural Patterns.md","k-nacci ratio limits are proposed to recover interface constants (Fibonacci/Padovan/Tribonacci/Tetranacci chains).","Needs exact recurrence definitions and limit statements.","Bridge","Compute-first","0.75","Good compute-first set; can become theorem family in stages."
CA-0047,"RequestedInfo/Constants/UFRF Constants Discovery_ Comprehensive Analysis of Triadic Emergence and Natural Patterns.md","Resonance metric proposal: R(C1,C2)=cos(pi/C1)*sin(C2*pi).","Treat as model definition unless justified from first principles.","Physics bridge","Conjecture","0.40","Useful as explicit operator in experiments."
CA-0048,"RequestedInfo/Constants/UFRF Constants Discovery_ Comprehensive Analysis of Triadic Emergence and Natural Patterns.md","Möbius transformation-factor formula TF(n)=0.3 + 0.1*sin(n*pi/4) + 0.2*cos(n*pi/6) is proposed.","Empirical fit requires dataset and error reporting.","Evidence","Compute-first","0.55","Candidate for curve-fit validation script."
CA-0049,"RequestedInfo/Constants/UFRF Constants Discovery_ Complete Analysis Including Spiral Mechanics and Prime Source Dynamics.md","Three-spiral generative model (Golden/Krystal/Log) is proposed for constant emergence via interference nodes.","Requires explicit operators and reproducible simulation.","Physics bridge","Conjecture","0.35","Conceptual model; keep separate from core axioms."
CA-0050,"RequestedInfo/Constants/UFRF Constants Discovery_ Complete Analysis Including Spiral Mechanics and Prime Source Dynamics.md","Prime-source replication principle is proposed: each prime recreates source-pattern triads recursively.","No formal predicate yet for 'source-pattern equivalence'.","Anchor","Conjecture","0.25","Track as long-horizon hypothesis."
CA-0051,"RequestedInfo/Constants/UFRF Constants Discovery_ Emergence from Geometric and Cyclic Fractal Harmonic Structure.md","13-cycle positional generation claim (REST at 10, completion/seed at 13, prime positions driving prime-related constants).","Requires precise finite-state map from position to claimable invariant.","Bridge","Compute-first","0.60","Can be tested in discrete-position model."
CA-0052,"RequestedInfo/Constants/UFRF Constants Discovery_ The Unified Fractal Resonance Framework Revelation.md","Eight-tier constants hierarchy is presented as a unifying classification across contexts.","Classification requires deterministic assignment rules.","Evidence","Compute-first","0.50","Treat as taxonomy until rule engine exists."
CA-0053,"RequestedInfo/Constants/Constants_emergence_From_UFRF.pdf","PDF content duplicates claims from classical constants triadic analysis (balance metric, interval mappings, triads).","Duplicate source with overlapping text and formulas.","Evidence","Compute-first","0.95","Mark as duplicate corpus source; no new theorem signal."
