canonical_id,canonical_text,lane,preferred_route,confidence_max,member_claim_ids,member_count,sources,notes
CC-0012,"An extended unified field equation introduces harmonic factor H_mu(c,p).",Physics bridge,Conjecture,0.35,CA-0012,1,RequestedInfo/Constants/UFRF Mathematical Constants_ Musical Intervals and Cyclical Systems Milestone Review.md,singleton
CC-0013,"For nonzero constant c, inverse is defined as 1/c.",Kernel,Lean-now,1.00,CA-0013,1,RequestedInfo/Constants/inverse_relationships_for_constants.md,singleton
CC-0014,"Interval inversion swaps ratio a:b to b:a (with a,b>0).",Bridge,Lean-now,0.95,CA-0014,1,RequestedInfo/Constants/inverse_relationships_for_constants.md,singleton
CC-0015,Golden-ratio inverse identity holds: 1/phi = phi - 1.,Kernel,Lean-now,1.00,CA-0015,1,RequestedInfo/Constants/inverse_relationships_for_constants.md,singleton
CC-0016,Silver-ratio inverse identity: 1/(1+sqrt(2)) = sqrt(2) - 1.,Kernel,Lean-now,0.98,CA-0016,1,RequestedInfo/Constants/inverse_relationships_for_constants.md,singleton
CC-0017,The major-third/minor-sixth pair is treated as inverse-complementary under interval inversion.,Bridge,Compute-first,0.70,CA-0017,1,RequestedInfo/Constants/inverse_relationships_for_constants.md,singleton
CC-0018,"A recurring complementary-interval pattern (e.g., fifth/fourth, major-third/minor-sixth) is proposed across constants.",Bridge,Compute-first,0.60,CA-0018,1,RequestedInfo/Constants/inverse_relationships_for_constants.md,singleton
CC-0019,The inverse of pi is approximately 0.3183 and interpreted as circle/line harmonic bridge.,Physics bridge,Conjecture,0.30,CA-0019,1,RequestedInfo/Constants/inverse_relationships_for_constants.md,singleton
CC-0020,Inverse relationships are proposed as dimensional-interface bridges across the framework.,Physics bridge,Conjecture,0.25,CA-0020,1,RequestedInfo/Constants/inverse_relationships_for_constants.md,singleton
CC-0021,"Triad balance is defined as B(a,b,c)=(a*b*c)/(a+b+c).",Kernel,Lean-now,1.00,CA-0021,1,RequestedInfo/Constants/Classical Mathematical Constants in UFRF Triadic Framework.md,singleton
CC-0022,"The triad value B(e,pi,phi) is claimed to be near phi.",Evidence,Compute-first,0.75,CA-0022|CA-0034,2,RequestedInfo/Constants/Classical Mathematical Constants in UFRF Triadic Framework.md|RequestedInfo/Constants/Comprehensive Systematic Analysis_ All Mathematical Constants in UFRF Framework.md,merged
CC-0023,"Interface constants are tied to polynomial identities: phi^2=phi+1, silver ratio satisfies x^2=2x+1, plastic ratio satisfies x^3=x+1.",Kernel,Lean-now,0.95,CA-0023|CA-0032|CA-0044,3,RequestedInfo/Constants/Classical Mathematical Constants in UFRF Triadic Framework.md|RequestedInfo/Constants/Comprehensive Systematic Analysis_ All Mathematical Constants in UFRF Framework.md|RequestedInfo/Constants/UFRF Constants Discovery_ Comprehensive Analysis of Triadic Emergence and Natural Patterns.md,merged
CC-0025,"The triad (pi,e,gamma) is presented as governing continuous-discrete prime structure relationships.",Anchor,Conjecture,0.35,CA-0025,1,RequestedInfo/Constants/Classical Mathematical Constants in UFRF Triadic Framework.md,singleton
CC-0026,"A mapping pipeline is proposed: use log2 decomposition to map a constant to a base ratio in [1,2) and then to the nearest musical interval.",Bridge,Compute-first,0.80,CA-0026,1,RequestedInfo/Constants/Mathematical Constants and Harmonic Intervals in the UFRF Framework.md,singleton
CC-0027,"Resonance claims tie interval classes to arithmetic position classes (e.g., multiples of 3 or 4).",Evidence,Compute-first,0.55,CA-0027,1,RequestedInfo/Constants/Mathematical Constants and Harmonic Intervals in the UFRF Framework.md,singleton
CC-0028,Plastic-ratio coordinate transforms are proposed using powers of rho and claimed to preserve selected geometric properties.,Physics bridge,Compute-first,0.50,CA-0028,1,RequestedInfo/Constants/Mathematical Constants and Harmonic Intervals in the UFRF Framework.md,singleton
CC-0029,"Geometric transforms are interpreted harmonically (e.g., rotation by 2*pi/13 as phase shift, inversion as interval reflection).",Bridge,Conjecture,0.40,CA-0029,1,RequestedInfo/Constants/Mathematical Constants and Harmonic Intervals in the UFRF Framework.md,singleton
CC-0030,A multi-constant resonance model is proposed as weighted sum Resonance(n)=sum_i w_i*R_i(n).,Kernel,Lean-now,0.90,CA-0030,1,RequestedInfo/Constants/Mathematical Constants and Harmonic Intervals in the UFRF Framework.md,singleton
CC-0031,Principle claim: each constant achieves unity within its own mathematical context.,Evidence,Compute-first,0.50,CA-0031|CA-0052,2,RequestedInfo/Constants/Comprehensive Systematic Analysis_ All Mathematical Constants in UFRF Framework.md|RequestedInfo/Constants/UFRF Constants Discovery_ The Unified Fractal Resonance Framework Revelation.md,merged
CC-0033,"Exact claim in document: B(phi,delta,rho)=phi.",Evidence,Compute-first,0.05,CA-0033,1,RequestedInfo/Constants/Comprehensive Systematic Analysis_ All Mathematical Constants in UFRF Framework.md,singleton
CC-0035,Special-function identity claim: omega constant satisfies Omega*exp(Omega)=1.,Kernel,Compute-first,0.85,CA-0035,1,RequestedInfo/Constants/Comprehensive Systematic Analysis_ All Mathematical Constants in UFRF Framework.md,singleton
CC-0036,Number-theory constants are assigned specific 'triadic roles' and harmonic intervals.,Bridge,Conjecture,0.30,CA-0036,1,RequestedInfo/Constants/Comprehensive Systematic Analysis_ All Mathematical Constants in UFRF Framework.md,singleton
CC-0037,"System levels SL0..SL12 are claimed concurrent (not sequential), each carrying a 13-position breathing cycle with flip and rest structure.",Bridge,Conjecture,0.45,CA-0037,1,_archive/2026-02-11_repo_cleanup_phase2/outdated_root_docs/UFRF_Phase_Locking_System_Levels_Information_Processing.docx,singleton
CC-0038,SL2 phase-locking is reported near-perfect for selected pairs (STD around or below 0.01-0.025 rad).,Evidence,Compute-first,0.70,CA-0038,1,_archive/2026-02-11_repo_cleanup_phase2/outdated_root_docs/UFRF_Phase_Locking_System_Levels_Information_Processing.docx,singleton
CC-0039,"A 24-block periodic refresh structure is reported for SL2, with anti-phase and in-phase groups.",Evidence,Compute-first,0.75,CA-0039,1,_archive/2026-02-11_repo_cleanup_phase2/outdated_root_docs/UFRF_Phase_Locking_System_Levels_Information_Processing.docx,singleton
CC-0040,"Mirror pairing SL5<->SL6, SL4<->SL7, SL3<->SL8 with a non-mirrored REST hub is asserted.",Kernel,Lean-now,0.60,CA-0040,1,_archive/2026-02-11_repo_cleanup_phase2/outdated_root_docs/UFRF_Phase_Locking_System_Levels_Information_Processing.docx,singleton
CC-0041,"Harmonic peaks at 0.125, 0.25, 0.5 are interpreted as octave-doubling coherence structure.",Evidence,Compute-first,0.65,CA-0041,1,_archive/2026-02-11_repo_cleanup_phase2/outdated_root_docs/UFRF_Phase_Locking_System_Levels_Information_Processing.docx,singleton
CC-0042,"Three concurrent encoding channels (amplitude, frequency, phase) are claimed across scale levels.",Physics bridge,Conjecture,0.40,CA-0042,1,_archive/2026-02-11_repo_cleanup_phase2/outdated_root_docs/UFRF_Phase_Locking_System_Levels_Information_Processing.docx,singleton
CC-0043,Claim links flip position to RH critical-line interpretation Re(s)=1/2.,Anchor,Conjecture,0.20,CA-0043,1,_archive/2026-02-11_repo_cleanup_phase2/outdated_root_docs/UFRF_Phase_Locking_System_Levels_Information_Processing.docx,singleton
CC-0045,Dimensional compression hypothesis: C(n) decreases with n and converges to 1 as n→∞.,Kernel,Conjecture,0.45,CA-0045,1,RequestedInfo/Constants/UFRF Constants Discovery_ Comprehensive Analysis of Triadic Emergence and Natural Patterns.md,singleton
CC-0046,k-nacci ratio limits are proposed to recover interface constants (Fibonacci/Padovan/Tribonacci/Tetranacci chains).,Bridge,Compute-first,0.75,CA-0046,1,RequestedInfo/Constants/UFRF Constants Discovery_ Comprehensive Analysis of Triadic Emergence and Natural Patterns.md,singleton
CC-0047,"Resonance metric proposal: R(C1,C2)=cos(pi/C1)*sin(C2*pi).",Physics bridge,Conjecture,0.40,CA-0047,1,RequestedInfo/Constants/UFRF Constants Discovery_ Comprehensive Analysis of Triadic Emergence and Natural Patterns.md,singleton
CC-0048,Möbius transformation-factor formula TF(n)=0.3 + 0.1*sin(n*pi/4) + 0.2*cos(n*pi/6) is proposed.,Evidence,Compute-first,0.55,CA-0048,1,RequestedInfo/Constants/UFRF Constants Discovery_ Comprehensive Analysis of Triadic Emergence and Natural Patterns.md,singleton
CC-0049,Three-spiral generative model (Golden/Krystal/Log) is proposed for constant emergence via interference nodes.,Physics bridge,Conjecture,0.35,CA-0049,1,RequestedInfo/Constants/UFRF Constants Discovery_ Complete Analysis Including Spiral Mechanics and Prime Source Dynamics.md,singleton
CC-0050,Prime-source replication principle is proposed: each prime recreates source-pattern triads recursively.,Anchor,Conjecture,0.25,CA-0050,1,RequestedInfo/Constants/UFRF Constants Discovery_ Complete Analysis Including Spiral Mechanics and Prime Source Dynamics.md,singleton
CC-0051,"13-cycle positional generation claim (REST at 10, completion/seed at 13, prime positions driving prime-related constants).",Bridge,Compute-first,0.60,CA-0051,1,RequestedInfo/Constants/UFRF Constants Discovery_ Emergence from Geometric and Cyclic Fractal Harmonic Structure.md,singleton
CC-0053,"PDF content duplicates claims from classical constants triadic analysis (balance metric, interval mappings, triads).",Evidence,Compute-first,0.95,CA-0053,1,RequestedInfo/Constants/Constants_emergence_From_UFRF.pdf,singleton
